direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2 ,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,direc 1,direc 1 wait,direc 2,direc 2 wait,average wait
0,1.639999,5,2.429998,1,0.05999999,1,3.524997,0,0,1,1.939999,0,7.920031,4,2.909998,0,4.304996,1,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,4,2.334999,2,0,1.382499
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,1,1.939999,0,7.920031,3,1.644999,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,5,2.167499,3,0,1.50716
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,1,0.9699994,1,7.920031,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,4,1.083749,3,0,2.503579
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,3,7.920031,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,2,1.270937,2,0.8999997,2.992117
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,5,7.920031,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.955679
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,4,4.220016,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,1.83534
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,4,4.220016,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,1.83534
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
0,1.639999,3,2.862498,0,2.519998,1,3.524997,0,0,0,1.244999,2,4.070002,2,0.8224995,0,4.304996,2,0,0,3.144998,1,0,0,0,0,5.234996,1,0,0,2.700037,1,0.6354684,2,0.8999997,2.386916
